B013801,B013801,B034501,B034501,B034601,B034601,B034903,B034903,B035002,B035002,B035101,B035101,B035201,B035201,value
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,248.972971749118
11-25 books,11-25 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,238.915802741668
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,258.986043543332
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,260.677936439409
11-25 books,11-25 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,241.849644996355
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,261.315262366266
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,277.579339555564
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,265.240566337304
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,274.1781745393
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,214.183609563992
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,219.346416812009
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,229.382963822792
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,Less than half of the time,Less than half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,224.309081204007
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,226.126802867435
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,224.713066833955
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,228.708676751277
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,235.581665165899
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,246.283427430772
